Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20251465756,20250126,Property Damage Only,-91.8387885988,43.0689328898
20251465765,20250125,Property Damage Only,-92.4974401271,42.8475393468
20251465795,20250126,Property Damage Only,-95.9580747858,42.7016151831
20251465800,20250124,Property Damage Only,-92.6153439453,41.2737052322
20251465809,20250124,Property Damage Only,-91.715348117,41.3097404207
20251465810,20250124,Property Damage Only,-92.4658801025,42.4207545047
20251465816,20250125,Property Damage Only,-91.5648561465,40.8801504251
20251465819,20250125,Property Damage Only,-91.1586704276,41.3152043154
20251465820,20250120,Property Damage Only,-91.4833667261,42.7832782384
20251465823,20250126,Property Damage Only,-94.9379979073,41.2589976584
20251465826,20250126,Property Damage Only,-92.2984052136,43.212996065
20251465830,20250118,Property Damage Only,-91.196614109,41.2292998517
20251465832,20250124,Suspected Minor Injury Crash,-93.8301310044,42.4492528723
20251465833,20250125,Property Damage Only,-91.1989717754,41.2146908978
20251465839,20250125,Property Damage Only,-91.982552185,41.0282532823
20251465841,20250127,Property Damage Only,-93.084110633,42.8984376376
20251465846,20250128,Property Damage Only,-93.4386215447,41.4424596371
20251465857,20250126,Property Damage Only,-94.0799631892,41.5298305974
20251465862,20250127,Property Damage Only,-93.9791409208,42.038215644
20251465863,20250127,Property Damage Only,-91.5093476575,41.9248241884
20251465876,20250127,Property Damage Only,-93.6474089296,41.6473723199
20251465877,20250127,Property Damage Only,-92.5986217575,43.0672409589
20251465878,20250127,Property Damage Only,-92.3477181218,42.2612758641
20251465888,20250126,Property Damage Only,-91.3638462661,42.7815965741
20251465893,20250115,Property Damage Only,-91.5272558814,41.628303252
20251465894,20250128,Property Damage Only,-91.23560076,41.7353200243
20251465902,20250128,Property Damage Only,-94.0422518497,41.2331579494
20251465905,20250127,Property Damage Only,-93.3510520912,42.0775303179
20251465906,20250127,Property Damage Only,-93.5816669289,42.0561303626
20251465909,20250127,Property Damage Only,-93.5134592411,41.5679113033
20251465912,20250127,Property Damage Only,-93.6168676433,42.8365614275
