Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20261526019,20260126,Possible/Unknown Injury Crash,-91.47504345,42.83147128
20261526030,20260121,Property Damage Only,-92.46036468,41.01494204
20261526035,20260122,Property Damage Only,-93.95464087,41.58104643
20261526039,20260111,Property Damage Only,-91.90094692,42.25304631
20261526042,20260114,Property Damage Only,-91.91077307,41.68310696
20261526062,20260125,Property Damage Only,-94.18979397,41.55520062
20261526094,20260125,Property Damage Only,-92.32547844,43.47256087
20261526101,20260122,Property Damage Only,-91.61640172,41.6922971
20261526118,20260104,Property Damage Only,-95.77700231,43.33812864
20261526146,20260126,Property Damage Only,-93.21347531,40.74730454
20261526148,20260126,Property Damage Only,-91.49378254,42.78530683
20261526150,20260126,Property Damage Only,-90.73979296,41.5000679
20261526158,20260126,Property Damage Only,-93.23324387,43.13387535
20261526162,20260126,Property Damage Only,-91.51064299,41.88415871
20261526163,20260126,Property Damage Only,-91.73576944,42.05636906
20261526170,20260126,Property Damage Only,-90.88941824,41.44203574
20261526172,20260126,Property Damage Only,-91.57051101,41.97636238
20261526175,20260126,Property Damage Only,-93.3825129,42.00772785
20261526184,20260126,Property Damage Only,-93.98567648,41.61348046
20261526185,20260126,Property Damage Only,-93.81622055,42.45496343
20261526192,20260120,Property Damage Only,-95.83931419,41.58953937
20261526193,20260126,Property Damage Only,-95.89513569,41.69815281
20261526217,20260126,Property Damage Only,-93.24453666,43.49204541
20261526223,20260126,Property Damage Only,-94.01584874,41.75395215
20261526321,20260127,Property Damage Only,-95.88061177,42.2058259
20261526324,20260126,Property Damage Only,-90.33285062,42.15100663
20261526325,20260127,Property Damage Only,-92.34771679,42.26258176
20261526335,20260127,Property Damage Only,-93.29703815,41.37041027
20261526339,20260127,Property Damage Only,-91.52352229,41.97587564
20261526343,20260122,Property Damage Only,-91.61686562,41.69251885
20261526348,20260127,Property Damage Only,-90.19883345,41.98315497
20261526354,20260128,Property Damage Only,-91.2012117,42.83198043
20261526355,20260105,Property Damage Only,-92.44142844,42.46954015
20261526356,20260118,Property Damage Only,-92.42500097,42.55776997
20261526360,20260127,Property Damage Only,-92.00661459,41.74806891
20261526362,20260128,Property Damage Only,-91.39423691,42.71963882
20261526363,20260127,Property Damage Only,-91.29609395,42.14758824
20261526373,20260128,Suspected Minor Injury Crash,-93.4532032,42.0055341
20261526380,20260125,Property Damage Only,-91.89026492,42.45535219
20261526384,20260126,Property Damage Only,-92.25815436,42.84961598
20261526385,20260128,Property Damage Only,-93.09971082,41.54014589
20261526389,20260126,Property Damage Only,-92.97034587,42.0489812
20261526414,20260128,Property Damage Only,-93.58147227,42.07055979
20261526444,20260108,Property Damage Only,-90.84514842,42.57558982
20261526448,20260120,Property Damage Only,-93.69431585,42.07074315
20261526452,20260125,Property Damage Only,-92.04260936,42.61427197
20261526496,20260127,Property Damage Only,-90.29725233,41.77884308
20261526505,20260128,Property Damage Only,-93.37020847,42.00793031
20261526512,20260126,Property Damage Only,-92.02199032,41.78734474
20261526536,20260129,Property Damage Only,-95.83370707,41.25362993
20261526543,20260129,Property Damage Only,-91.51958026,42.49565125
20261526585,20260129,Property Damage Only,-96.32696239,42.63378475
20261526641,20260127,Property Damage Only,-92.64731893,40.87949627
20261526646,20260128,Property Damage Only,-91.25075053,40.6855473
20261526669,20260129,Property Damage Only,-91.24562291,40.69516217
20261526670,20260129,Property Damage Only,-91.28224474,40.64800595
20261526675,20260130,Property Damage Only,-94.05560363,41.74302867
20261526676,20260130,Property Damage Only,-94.14010351,42.41985939
20261526679,20260129,Property Damage Only,-91.54076358,41.28960845
20261526681,20260129,Property Damage Only,-91.20146662,41.31813297
20261526730,20260115,Property Damage Only,-93.6171955,42.75509707
20261526736,20260130,Property Damage Only,-92.58707838,42.98640675
20261526739,20260201,Property Damage Only,-93.79802651,40.98773351
20261526740,20260201,Property Damage Only,-92.72593092,42.02182714
20261526741,20260119,Property Damage Only,-92.02097939,43.32478519
20261526756,20260130,Property Damage Only,-94.31830176,41.60522014
20261526757,20260130,Property Damage Only,-92.43233669,41.81845914
20261526780,20260130,Property Damage Only,-93.70342471,41.47558968
20261526784,20260130,Property Damage Only,-93.20302137,43.18205481
20261526785,20260131,Property Damage Only,-90.69222163,42.42379887
20261526804,20260128,Property Damage Only,-92.45470392,42.59925143
20261526805,20260129,Property Damage Only,-92.24176764,42.37614547
20261526814,20260129,Property Damage Only,-90.89702644,42.03716345
20261526842,20260127,Property Damage Only,-91.32109781,42.7127004
20261526853,20260131,Property Damage Only,-94.62348341,40.64510027
20261526855,20260131,Property Damage Only,-91.54407241,41.935267
20261526869,20260131,Property Damage Only,-90.42069583,41.59160019
20261526886,20260129,Property Damage Only,-94.12253889,41.02738567
20261526909,20260131,Property Damage Only,-91.43071065,40.56050465
20261526910,20260131,Property Damage Only,-91.42350266,40.6405987
20261526947,20260201,Property Damage Only,-93.2111265,43.30219892
20261526982,20260201,Property Damage Only,-92.87311941,43.05261104
20261526984,20260201,Property Damage Only,-90.25164259,42.12340529
20261526986,20260201,Property Damage Only,-93.78425775,41.12979455
20261526988,20260201,Property Damage Only,-94.22655956,42.6158848
20261526994,20260130,Property Damage Only,-93.69870104,42.05395544
20261527000,20260201,Property Damage Only,-93.58111039,41.71690125
20261527002,20260202,Property Damage Only,-95.99344492,42.16803056
20261527022,20260131,Property Damage Only,-93.5003804,41.26473006
20261527027,20260131,Property Damage Only,-95.04439602,41.30253436
20261527028,20260130,Property Damage Only,-91.43968065,40.87157051
20261527042,20260131,Property Damage Only,-92.86111068,41.70755915
20261527049,20260129,Property Damage Only,-91.80521172,43.35129668
20261527050,20260131,Property Damage Only,-91.85204613,43.24408247
20261527052,20260130,Property Damage Only,-93.20684323,43.18785606
20261527057,20260130,Property Damage Only,-90.66369733,42.4560991
20261527060,20260130,Property Damage Only,-93.91188789,41.76837973
20261527061,20260131,Property Damage Only,-93.94399082,41.51775952
20261527062,20260201,Property Damage Only,-91.67751474,42.09501598
20261527065,20260130,Property Damage Only,-93.3562003,42.51418833
20261527066,20260130,Property Damage Only,-94.94581232,41.49149822
20261527067,20260201,Property Damage Only,-93.17151885,42.31282483
20261527073,20260128,Property Damage Only,-92.0637004,42.84747048
20261527080,20260130,Property Damage Only,-91.36790326,41.27891921
20261527089,20260131,Property Damage Only,-92.1869356,41.80833766
20261527093,20260202,Property Damage Only,-93.06899854,42.27083733
20261527103,20260130,Property Damage Only,-95.39218105,40.6776505
20261527117,20260131,Property Damage Only,-93.00966354,42.0248379
20261527131,20260131,Property Damage Only,-92.54470707,42.87890435
20261527134,20260201,Property Damage Only,-92.38903966,42.71498413
20261527148,20260124,Property Damage Only,-90.24526326,41.8083442
20261527153,20260202,Property Damage Only,-95.76470506,41.02065095
20261527156,20260128,Property Damage Only,-91.57681017,41.75098812
20261527158,20260202,Property Damage Only,-91.15444619,40.75553484
20261527159,20260202,Property Damage Only,-91.62333487,42.0438354
20261527161,20260202,Property Damage Only,-92.33426124,41.27906165
20261527162,20260202,Property Damage Only,-92.34771441,42.26163609
20261527174,20260202,Property Damage Only,-90.54154048,41.71564439
20261527176,20260202,Property Damage Only,-92.29837225,43.21050156
20261527178,20260202,Property Damage Only,-93.67275703,41.73944121
20261527187,20260122,Property Damage Only,-92.42477604,42.55573354
20261527188,20260130,Property Damage Only,-92.42695691,42.55967998
20261527191,20260202,Property Damage Only,-90.71227767,42.46620188
20261527193,20260202,Property Damage Only,-94.3771629,41.98685514
20261527199,20260201,Possible/Unknown Injury Crash,-93.10069891,41.44281035
20261527203,20260202,Property Damage Only,-91.48908508,41.96678136
20261527205,20260128,Property Damage Only,-91.69698599,41.14936141
20261527226,20260129,Property Damage Only,-93.2930141,43.19869868
20261527227,20260203,Property Damage Only,-94.80575484,43.3638824
20261527243,20260202,Property Damage Only,-92.04034772,42.71937438
20261527244,20260203,Property Damage Only,-92.44662174,42.71488056
